Singular,Plural
actor,actors
actress,actresses
artist,artists
alderman,aldermen
alderwoman,alderwomen
councilmember,councilmembers
assemblyman,assemblymen
assemblywoman,assemblywomen
legislator,legislators
author,authors
authoress,authoresses
writer,writers
aviator,aviators
aviatrix,aviatrixes
pilot,pilots
bachelor,bachelors
bachelorette,bachelorettes
unmarried,unmarrieds
baron,barons
baroness,baronesses
peer,peers
brother,brothers
sister,sisters
sibling,siblings
businessman,businessmen
businesswoman,businesswomen
businessperson,businesspersons
cameraman,cameramen
camerawoman,camerawomen
cameraoperator,cameraoperators
chairman,chairmen
chairwoman,chairwomen
chairperson,chairpersons
councilman,councilmen
councilwoman,councilwomen
councillor,councillors
conductor,conductors
conductress,conductresses
money collector,money collectors
congressman,congressmen
congresswoman,congresswomen
count,counts
countess,countesses
noble,nobles
craftsman,craftsmen
craftswoman,craftswomen
artisan,artisans
crewman,crewmen
crewwoman,crewwomen
crew member,crew members
delivery boy,delivery boys
delivery girl,delivery girls
delivery person,delivery persons
doorman,doormen
doorwoman,doorwomen
door attendant,door attendants
draftsman,draftsmen
draftswoman,draftswomen
drafter,drafters
duke,dukes
duchess,duchesses
emperor,emperors
empress,empresses
ruler,rulers
father,fathers
mother,mothers
parent,parents
fireman,firemen
firewoman,firewomen
firefighter,firefighters
fisherman,fishermen
fisher woman,fisher women
angler,anglers
foreman,foremen
forewoman,forewomen
supervisor,supervisors
forefather,forefathers
foremother,foremothers
ancestor,ancestors
gentleman,gentlemen
lady,ladies
people,people
godfather,godfathers
godmother,godmothers
godparent,godparents
grandfather,grandfathers
grandmother,grandmothers
grandparent,grandparents
headmaster,headmasters
headmistress,headmistresses
principal,principals
heir,heirs
heiress,heiresses
successor,successors
hero,heroes
heroine,heroines
protagonist,protagonists
horseman,horsemen
horsewoman,horsewomen
horserider,horseriders
husband,husbands
wife,wives
spouse,spouses
king,kings
queen,queens
monarch,monarchs
landlord,landlords
landlady,landladies
landholder,landholders
layman,laymen
laywoman,laywomen
layperson,laypersons
lord,lords
noble,nobles
man,men
woman,women
person,persons
masseur,masseurs
masseuse,masseuses
massage therapist,massage therapists
middleman,middlemen
intermediary,intermediaries
monk,monks
nun,nuns
clergy,clergy
nephew,nephews
niece,nieces
nibling,niblings
newsboy,newsboys
newsgirl,newsgirls
newspapercarrier,newspapercarriers
office boy,office boys
officegirl,officegirls
clerk,clerks
patrolman,patrolmen
patrolwoman,patrolwomen
patrol officer,patrol officers
poet,poets
poetess,poetesses
policeman,policemen
police woman,police women
police officer,police officers
postman,postmen
postwoman,postwomen
mail carrier,mail carriers
prince,princes
princess,princesses
royal child,royal children
proprietor,proprietors
proprietress,proprietresses
owner,owners
repairman,repairmen
repair woman,repair women
technician,technicians
salesman,salesmen
sales woman,sales women
sales person,sales persons
shepherd,shepherds
shepherdess,shepherdesses
pastoralist,pastoralists
showman,showmen
performer,performers
sir,sirs
madam,madams
son,sons
daughter,daughters
child,children
spokesman,spokesmen
spokeswoman,spokeswomen
spokesperson,spokespersons
sportsman,sportsmen
sportswoman,sportswomen
athlete,athletes
statesman,statesmen
stateswoman,stateswomen
leader,leaders
steward,stewards
stewardess,stewardesses
flight attendant,flight attendants
stuntman,stuntmen
stuntwoman,stuntwomen
stunt performer,stunt performers
viscount,viscounts
viscountess,viscountesses
waiter,waiters
waitress,waitresses
server,servers
watchman,watchmen
watchwoman,watchwomen
guard,guards
wizard,wizards
witch,witches
sorcerer,sorcerers
widow,widows
widower,widowers
house husband,house husbands
househusband,househusbands
house wife,house wives
housewife,housewives
homemaker,homemakers
stepfather,stepfathers
stepmother,stepmothers
stepparent,stepparents
stepson,stepsons
stepdaughter,stepdaughters
stepchildren,stepchildren
strongman,strongmen
strongwoman,strongwomen
strongperson,strongpersons
janitor,janitors
janitress,janitresses
cleaner,cleaners
freshman,freshmen
barman,barmen
barmaid,barmaids
bartender,bartenders
househelp,househelps
prostitute,prostitutes
businesswoman,businesswomen
host,hosts
receptionist,receptionists
common person,common persons
entertainer,entertainers
gigolo,gigolos
service man,service men
service woman,service women
cleaning lady,cleaning ladies
table attendant,table attendants
service member,service members
postal worker,postal workers
worker,workers
maiden name,maiden names
stateswoman,stateswomen
house keeper,house keepers
cleaning lady,cleaning ladies
property owner,property owners
househelp,househelps
common man,common men
manpower,menpower
family name,family names
hostess,hostesses
crew person,crew persons
front office attendant,front office attendants
house maid,house maids
sex worker,sex workers
